,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-4707863452603278075,"PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Scrum Community - Scrum Alliance,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Saying �� to Allo and Duo: new apps for smart messaging and video calling,Brazilian Government and Ericsson to innovate together for Internet of Things,Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem
-4700714777342103147,"Say goodbye to traditional customer segmentation "" Banking Technology",Blockchain Will Be Used By 15% of Big Banks By 2017,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech
-4698104907897418459,"China leaps ahead of Japan, is second in global iOS app revenue",WeChat's competitor to Slack has arrived,"There will be a Drupal 9, and here is why",Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see,Uber China will reportedly merge with archrival Didi Chuxing
-4655195825208522542,Java 9 na prática: Jigsaw,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,What's the Version of my Deployed Application? - DZone DevOps,An Overly Thorough Guide To Underused Android Libraries,BDD Best Practices and Guidelines - Testing Excellence
-4625438649010928449,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Where accountability really matters,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship
-4615179238096674750,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Visa lança desafio para startups de tecnologia - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi
-4613284400780388067,Senado lança enquete para saber se você é contra ou a favor a franquia de dados para internet fixa,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Quinzena tem a melhor venda diária do ano,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits
-4612605965384710183,"Google tests a more personalized version of its virtual assistant, Google Now",My Approach to Mobile Accessibility Testing - Ministry of Testing,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",A tougher Turing Test shows that computers still have virtually no common sense,Top 5 Android Testing Frameworks with Examples,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
-4582216289807398227,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi,[GTD] Forget About Setting Goals. Focus on This Instead.,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera
-4571929941432664145,Machine Learning as a Service: How Data Science Is Hitting the Masses,Tensorflow wins,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Graph-powered Machine Learning at Google,New Sessions Added To Google I/O 2016 Schedule,Exclusive: Why Microsoft is betting its future on AI
-4562218760600603086,Performance Testing in a Nutshell,Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Java 8 Best Practices Cheat Sheet,Notes on Reactive Programming Part I: The Reactive Landscape,Google lança Cloud Functions,Facebook's WhatsApp does something very different than Google
-4561077506184283336,Build Apps Faster with Salesforce - Webinar,Taco Bell chega ao Brasil no segundo semestre desse ano,[Books] Biblioteca FIXE: Sugestões de Leitura,"Facebook lança Workplace, versão da rede social para empresas",Digital is all about the people - Chris Skinner's blog,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016
-4550355627706401135,Bixpy Jet is your personal water propulsion system,"Android N Developer Preview 2, out today! | Android Developers Blog",Governo busca empresas para aprimorar Internet das Coisas no Brasil,[Teste] Quer saber como está seu português? - Runrun.it Blog,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Plano de Evolução - nível de qualidade equipe Java -
-4541461982704074404,Exclusive: Why Microsoft is betting its future on AI,What SWAG will Google I/O 2016 attendees take home?,The emerging Darwinian approach to analytics and augmented intelligence,New Sessions Added To Google I/O 2016 Schedule,Graph-powered Machine Learning at Google,Deep learning software knows that a rose is a rose is a rosa rubiginosa
-4509487968959834430,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,What Millennials Want from a New Job
-4503975842879662368,Google Ranking Factors: The Complete List,How Coca-Cola Is Harvesting Innovation Energy From Startups,Top 30 Commonly Confused Words in English,Portugal runs for four days straight on renewable energy alone,"DevOps security requires new mindset and tools for visibility, automation",Stop saying learning to code is easy.
-4487024160266973763,Visa inaugura Co-Creation Center em São Paulo,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Mobile Time,IBM makes a big shift into cognitive computing,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,35 Innovative and Inspirational Website Designs in Banking
-4483059513836093676,Grow fast or die slow: Focusing on customer success to drive growth,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",DeepMind moves to TensorFlow,The AI business landscape,Threaded messaging is coming to Slack
-4475938295812802739,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,"Twitter killed Magic Recs, the only useful bot there is",Why 2016 is shaping up to be the Year of the Bot,The Joel Test: 12 Steps to Better Code
-4463029741564307314,Dries Buytaert,Meet Aquifer: A build system for easier Drupal development,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Dries Buytaert,"Thunder, a Drupal distribution for publishers"
-4460374799273064357,"Deep Learning for Chatbots, Part 1 - Introduction",How to choose algorithms for Microsoft Azure Machine Learning,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Auto-scaling scikit-learn with Spark,Algorithms and architecture for job recommendations,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI"
-4458371007893120981,Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),How I Passed the AWS Solutions Architect Professional Exam
-4414039190127558142,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Can Accenture Take Over Advertising?,How AWS came to be,GE Digital snags ServiceMax for $915 million,Five things to include in your digital transformation playbook,Accenture Launches Content Studio
-4386371945374980231,Por que o Walmart não é Walmart no Brasil,O início problemático dos chatbots no Facebook Messenger,Marketplace,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Cia. Hering sincroniza diferentes marcas em um único portal de compras,From E-Commerce to Web 3.0: Let the Bots Do the Shopping
-4358357193736101128,Uma arquitetura de referência para a Internet das Coisas - Parte 1,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Webinar: A Internet das Coisas no Brasil,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Aplicação de visão computacional com OpenCV
-4338308747999225618,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",What SWAG will Google I/O 2016 attendees take home?,"Apple acquires Turi, a machine learning company"
-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Android N Developer Preview 2, out today! | Android Developers Blog",Curso mbed na KL25Z - Primeiros passos - Embarcados,[Teste] Quer saber como está seu português? - Runrun.it Blog
-4333957157636611418,Why Programmers Want Private Offices,On DRY and the cost of wrongful abstractions,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",The Ten Commandments of Egoless Programming,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade","A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL"
-4333056764244640444,Lentes de contato inteligentes serão o wearable definitivo,The Great Library,Don Tapscott: How the blockchain is changing money and business,Decentralizing IoT networks through blockchain,Peças Translúcidas,Introducing New Relic Infrastructure
